seg_idx,circuitid,substation,division,mid_lat,mid_lon
0,012041102,01204,East Bay,37.835118500191584,-122.2788587101619
1,062462223,06246,Sacramento,38.19383334537557,-121.57237548671756
2,062462227,06246,Sacramento,38.35386191215396,-121.62012962228043
3,012091116,01209,East Bay,37.78183528548118,-122.19696908997432
4,042281105,04228,Humboldt,39.40817598608729,-123.1256808660146
5,024251101,02425,Peninsula,37.38502365540981,-122.2613289224203
6,014592105,01459,Diablo,37.895201704814156,-121.69652019157508
7,042091101,04209,Sonoma,38.47681143143214,-122.9558063448411
8,014091105,01409,Mission,37.70140076221186,-122.08672876136352
9,013111109,01311,Mission,37.74537525967458,-122.12553307858933
10,062462225,06246,Sacramento,38.16728556939928,-121.66835861029183
11,022500402,02250,Peninsula,37.73567479254512,-122.49095549401011
12,022031106,02203,San Francisco,37.75930564908346,-122.38749237906833
13,062462224,06246,Sacramento,38.17609684339378,-121.52751975404453
14,022031113,02203,San Francisco,37.76534257871769,-122.38903876861961
15,014452108,01445,Diablo,38.00339147500082,-121.83906271952448
16,024130402,02413,Peninsula,37.45178795078106,-122.2138204599114
17,013660402,01366,Mission,37.70167132313866,-122.08315075278239
18,014091105,01409,Mission,37.70140076221186,-122.08672876136352
19,013111107,01311,Mission,37.69769127117992,-122.10539954059414
20,024181103,02418,Peninsula,37.47835755320161,-122.24049564065479
21,024181102,02418,Peninsula,37.50186437126989,-122.24628080931349
22,024181104,02418,Peninsula,37.49877668796653,-122.27147719419914
23,024181101,02418,Peninsula,37.50170320497685,-122.25264876453392
24,022031121,02203,San Francisco,37.7557926182647,-122.3826311621433
25,014101105,01410,Diablo,37.97359058390771,-122.12578481533168
26,013432208,01343,Diablo,37.991755254777964,-122.12008438358257
27,014101102,01410,Diablo,38.00877650990026,-122.11909391439463
28,014101101,01410,Diablo,37.990609134378715,-122.12581619573425
29,022031108,02203,San Francisco,37.76894227881138,-122.40191522500092
30,022691101,02269,Peninsula,37.599361714327166,-122.38312234571538
31,022691106,02269,Peninsula,37.602446936126945,-122.37551649499245
32,083392110,08339,San Jose,37.36244654470772,-121.57819300659716
33,022031109,02203,San Francisco,37.755308805887786,-122.3890248673734
34,022031107,02203,San Francisco,37.75470981289978,-122.39814429871849
35,012541115,01254,East Bay,37.8153677224303,-122.24358747573781
36,012541107,01254,East Bay,37.830141449512126,-122.23639720685331
37,013761114,01376,Mission,37.62496997510206,-122.1200654231877
