val_year,train_years,hpp_val_ll,nhpp_val_ll,cnhpp_val_ll,delta_ll,se_boot,ci95_lo,ci95_hi,p_le_0,p_two,cnhpp_xi,val_events
2022,2020;2021;2023;2024,-4412.202711772922,-4246.036007352233,-4248.591037438291,-2.555030086058542,7.947799872497286,-20.561116093163967,9.842203405327961,0.5838,0.8324,0.4,613
2023,2020;2021;2022;2024,-3606.1324442340892,-3419.867674645441,-3424.028912819449,-4.161238174007787,10.68215210124274,-27.97245828362016,11.15164610487227,0.6054,0.7892,0.4,480
2024,2020;2021;2022;2023,-5204.190183871407,-4877.6157062107295,-4873.9232697998805,3.6924364108493353,5.574737112869601,-8.9560679349387,12.327000937812832,0.238,0.476,0.30000000000000004,741
